created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
06-12-2021,312,70,4,2,1,1,Tanah Sareal,SHM,2200,Timur,250000000,https://www.rumah123.com/properti/bogor/hos8921804/,"Dekat lapangan Tenis dan mesjid, 10 menit pintu tol Yasmin,  10 Menit Transmart, Lotte mart, Giant",
06-12-2021,105,70,3,2,0,0,Cibinong,SHM,1300,,679000000,https://www.rumah123.com/properti/bogor/hos4232661/,5 menit SPBU *5 menit ke GOR Pakansari *10 menit ke Cibinong City Mall *7 menit ke Pemkab Bogor *10 menit ke RSUD Cibinong ,
06-12-2021,112,129,3,3,0,0,Gunung Putri,SHGB,3500,Selatan,1800000000,https://www.rumah123.com/properti/bogor/hos8200442/,"Cluster Nashville ini dekat dengan beberapa fasilitas pendukungn seperti; fasilitas pendidikan (sekolah), business loft, dan dekat dengan area komersial. Selain itu di sekitar Nashville juga terdapat Fresh Market, HERO, Kampung China, Bank-bank Ternama, Sport Club dan Feeder Busway.",
06-12-2021,60,50,2,1,0,0,Babakan Madang,SHM,2200,Selatan,850000000,https://www.rumah123.com/properti/bogor/hos9226720/,"0 KM dari exit toll Babakan Madang., 5 menit GOR Pakansari, 10 menit Pemda Cibinong, 15 menit AEON, Dekat stasiun LRT Babakan Madang",
06-12-2021,162,51,2,1,0,1,Bogor Selatan,SHM,2200,,1350000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-rancamaya-bogor-siap-huni-oleh-romi-19330448,"Dijual Rumah Siap Huni di dalam Cluster Rancamaya Golf Estate Bogor, Rumah siap Huni, Tanah Hook, Lokasi Strategis dengan akses Tol Ciawi dan Tol Bocimi, One Gate System, Security 24 jam, Lingkungan Sejuk dan Nyaman",
06-12-2021,120,90,5,3,0,3,Bogor Barat,SHM,2200,,1000000000,https://www.rumah.com/listing-properti/dijual-rumah-harga-bawah-pasar-fasum-lengkap-kpr-bsi-dp-10-juta-akses-terjangkau-hanya-15-menit-toll-yasmin-oleh-nina-meiyanne-18971057,"Dekat Perumahan Taman Yasmin, Dekat Tol Nilai Investasi Tinggi, Rumah Menghadap Taman, SHM On Hand Dapat Cek Langsung",
06-12-2021,200,170,2,1,0,0,Parung,Lainnya,1300,,500000000,https://www.rumah.com/listing-properti/dijual-parung-bogor-oleh-titi-19394860,"1 unit rumah minimalis beserta 3 unit rumah petakan, Untuk 1 unit rumah kamar tidur 2, kamar mandi 1, Untuk 3 rumah letakan masing2 1 kamar tidur dan 1 kamar mandi",
06-12-2021,60,40,2,1,0,1,Gunung Putri,SHM,1300,,450000000,https://www.rumah.com/listing-properti/dijual-cluster-baru-paling-laris-di-cikeas-banyak-promo-oleh-budiman-19350248,"DP Mulai dari 25Juta, Anda sudah bisa mendapatkan Rumah Cluster 10 menit dari Pintu Tol Cimanggis & JORR 2 Cibubur, Akses Mudah, dekat LRT/MRT, Sangat Strategis & Berkembang!",
06-12-2021,90,79,3,2,0,1,Bogor Barat,SHM,2200,,800000000,https://www.rumah.com/listing-properti/dijual-hunian-exclusive-banyak-bonusnya-di-bogor-oleh-ahmad-19383896,"Seling point :Fasilitas Exclusive di Dalam Perumahan, Club House Seluas 1500m2, Swimming Pool, Gym, Taman Bermain Anak",
06-12-2021,60,63,2,2,0,1,Bogor Barat,SHM,2200,,593000000,https://www.rumah.com/listing-properti/dijual-cluster-modern-di-bogor-barat-oleh-ahmad-19365238,"Fasilitas Exclusive di Dalam Perumahan, Club House Seluas 1500m2, Swimming Pool, Gym, Taman Bermain Anak",
06-12-2021,60,39,2,1,0,1,Parung,SHM,2200,,671000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-bogor-oleh-erwin-19280905,promo *FREE PPN 10%* akan segera berakhir! Ambil unit SEKARANG! LANGSUNG UNTUNG PULUHAN JUTA!,
06-12-2021,75,45,2,2,0,1,Kemang,SHM,1300,,467600000,https://www.rumah.com/listing-properti/dijual-kemang-graha-insani-oleh-silva-18451100,"memiliki akses transportasi yang mudah di lalui, lokasi sangat strategis dekat dari berbagai fasilitas atau sarana umum seperti Rs, Sekolah, Pesantren, SPBU, Kantor Polisi, Supermarket, Pasar Tradisional.",
06-12-2021,50,36,2,1,0,1,Bojonggede,SHM,1300,,200000000,https://www.rumah.com/listing-properti/dijual-al-fauz-residence-4-oleh-ade-lutfi-19383612,"Dekat akses tol, Dekat jalan utama, 15menit Stasiun Depok Baru, 10menit Stasiun Citayam, 15menit Terminal utama kota Depok",
06-12-2021,78,45,2,1,0,1,Bojonggede,SHM,1300,,310000000,https://www.rumah.com/listing-properti/dijual-zein-residence-oleh-ade-lutfi-18935985,"15menit Stasiun Depok Baru, 8menit Stasiun Citayam, 15menit Terminal utama kota Depok, 3menit SPBU Pertamina, ATM,Alfamart,Indomart dll, Taman Bermain Anak dan Keluarga",
06-12-2021,72,45,2,2,0,1,Gunung Putri,SHM,2200,,820000000,https://www.rumah.com/listing-properti/dijual-askara-residence-oleh-nova-tiara-19394781,Rumah Baru Cluster Cibubur,
06-12-2021,84,36,2,1,0,1,Parung,SHM,1300,,599000000,https://www.rumah.com/listing-properti/dijual-kemang-eminence-bogor-oleh-aditya-santoso-19253196,Perumahan cluster baru di jalur utama Bogor dekat dengan tol BORR dan stasiun kereta Cliebut,
