Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-11-2021,75,36,2,1,1,,Buduran,SHGB,1300,,199000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-wiwik-dwi-19148391,Terbatas hanya 5 Unit saja
06-10-2021,160,380,4,3,1,,Tambaksari,SHM,4400,barat,2750000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-andy-19113692,
06-10-2021,100,50,2,1,1,,Rungkut,SHM,1300,,775000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-eva-17293507,"Dijual rumah Baru gress daerah medokan ayu :
LT 5x20,LB 50,KT 2,KM 1,PLN 1300,PDAM
FREE PAGAR, CANOPY DAN TANDON!!!"
06-10-2021,60,100,2,2,1,,Rungkut,SHM,1300,timur,600000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-eva-17295200,"DIJUAL RUMAH BARU GRESS 2 LANTAI, LOKASI MEDAYU, SURABAYA TIMUR. HARGA Rp 600jt."
06-10-2021,90,110,3,2,1,,Sambikerep,SPPJB,2200,utara,1800000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-ani-aryani-18910563,"Hanya selangkah dari Fresh Market ,Bonus 3 AC,Siap Huni,Kondisi Sangat Terawat"
06-09-2021,325,500,5,4,2,,Wonokromo,SHM,2200,utara,3450000000,https://www.rumah.com/listing-properti/dijual-surabaya-oleh-miski-18973201,"Rumah Modern Minimalis ,<5 menit ke Pintu Tol Satelit,Selangkah ke Raya Hr Muhammad, Mayjend Sungkono, Gunungsari,Banyak Kuliner & Minimarket
"
06-12-2021,100,40,2,1,,1,Rungkut,SHM,1300,timur,675000000,https://onlist.id/detil/hunian-rumah-idaman-anda-di-medokan-sawah-281320,"SPESIFIKASI RUMAH :

- Desaign ruangan bebas bisa request - Cat rumah bisa sesuai keinginan - Terdapat 2 kamar tidur - Dan 1 kamar mandi - Carport - Taman"
06-12-2021,116,200,5,3,1,,Gunung Anyar,SHM,,timur,2000000000,https://onlist.id/detil/rumah-dijual-puri-jimbaran-regency-289014,Rumah Dijual Puri Jimbaran Regency
06-12-2021,180,130,3,2,,,Wiyung,SHM,2200,selatan,1900000000,https://onlist.id/detil/rumah-terawat-babatan-pratama-288676,
06-11-2021,142,255,4,4,1,1,Mulyorejo,,,,4000000000,https://www.lamudi.co.id/rumah-dijual-surabaya-super-mewah-surabaya-timur-grand-kenjeran-rasa-villa.html,"Fasilitas:
Row jalan lebar,Danau, taman, lahan hijau,Komersial area,Sangat dekat dengan Superindo,Dekat pom bensin

"
