created_at,LT (M2),LB (M2),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi 
06-12-2021,250,250,6,6,,,Denpasar,SHM,4400,,2500000000,https://www.rumah123.com/properti/denpasar/hos9288970/,"Rumah Dijual Denpasar Dijual,Rumah mewah yang lokasinya strategis di Ubung denpasar,hanya 3 menit ke Citraland waterpark, Pintu utama menghadap ke Barat, Pintu samping menghadap ke selatan, 1 master bedroom ( ada bathtub ), 5 standard room,semua kamar tidur dilengkapi dengan toilet"
06-12-2021,105,110,2,3,,1,Denpasar ,SHM,3500,,2660000000,https://www.rumah123.com/properti/denpasar/hos9288244/,"Perumahan cluster dengan desain modern tropical yang terintegrasi dengan commercial center.Dengan berbagai fasilitas di dalam cluster seperti Pura,commercial center,club house,estate management office,bicycle lanes dll., Dekat dengan berbagai fasilitas umum : 5 menit ke Dharma Yadnya Hospital, 5 menit ke Bali Zoo, 10 menit ke Sanur Beach, 10 menit ke Grand Lucky Supermarket, 25 menit ke Ubud, 30 menit ke Ngurah Rai Airport"
06-12-2021,200,289,3,6,,,Denpasar,SHM,2200,,2800000000,https://www.rumah123.com/properti/denpasar/hos9287309/,"Rumah Dijual Denpasar Dijual Rumah Tinggal 2 Lantai Dengan Kolam Renang Pribadi Lokasi Kawasan Elite Renon Denpasar : Lokasi Premium Pusat Kota Renon Denpasar Bali, Dekat dengan Pusat Pemerintahan, Kantor Konsulat, Perkantoran , 500 mtr ke RS BROS (Bali Royal Hospital), Hanya 3 menit (1km) ke Lapangan Renon, 5 menit ke Mall Plaza Renon Bali, 15 menit ke Pantai Sanur Bali ; Luas Tanah 200 m2 (2 are), Luas Bangunan 289 m2, Akses jalan 4 meter, Kamar Tidur 3, Kamar Mandi 6, Dapur dan Kitchen Set, Ruang Tamu, Ruang Keluarga, Ruang cuci dan jemur, Balkon, Garasi 1 mobil, Kolam Renang, 3 buah AC, CCTV, Telpon rumah ,Speedy( Indihome), Air PDAM, listrik 2200 watt, SHM&IMB Lengkap, Turun Harga dari 3.2M ke Harga 2.8M"
06-12-2021,100,85,2,2,,,Denpasar ,SHM,2200,,700000000,https://www.rumah123.com/properti/denpasar/hos9287295/,"Rumah Dijual Denpasar DIJUAL RUMAH BARU MINIMALIS HARGA BERSAHABAT; Lokasi : Pemogan, Denpasar Selatan; Type 85/100m² : 2 Kamar tidur, 2 Kamar mandi, 1 Ruang belakang, 1 Dapur, 1 Ruang tamu/keluarga, 1 Garase, PLN 2200 watt, Air sumur borr, Pintu Kayu Jati, Jalan bisa papasan mobil, Harga IDR 700,000,000,- nego"
06-12-2021,100,120,3,2,1,1,Denpasar,SHM,1300,Timur,1300000000,https://www.rumah123.com/properti/denpasar/hos9286986/,"JUAL RUMAH BARU GRESS VIEW SAWAH PULAU MOYO DENPASAR SELATAN; BANGUNAN LANTAI 2; MINIMALIS MODERN; LOKASI DEKAT JALAN TOL BENOA , SESETAN & PESANGGARAN: LUAS TANAH 100m², LUAS BANGUNAN ± 120m², KAMAR TIDUR 3, KAMAR MANDI 2, HADAP TIMUR, AIR SUMUR BOR, LISTRIK 1300 watt,AKSES JALAN 5 METER, BALKON, GARASI MOBIL, HADAP TIMUR, SHM IMB LENGKAP, HARGA 1,3 MILYAR NEGO"
06-12-2021,344,350,5,5,4,4,Denpasar,SHM,5500,,4000000000,https://www.rumah123.com/properti/denpasar/hos9233228/,"Luas Tanah 344 m2, luas Bangunan 350 m2, 5 Kamar tidur, 5 Kamar mandi, Ruang Tamu, Ruang Keluarga, Gudang, Dapur + Furniture, Ruang makan, Kolam renang, Gasebo, Garase untuk 4 mobil, Akses jalan 6 meter, SHM + IMB, Lokasi Sidakarya, dekat ke renon, sanur, by pass ida ngurah rai, sesetan"
06-12-2021,400,320,3,2,2,2,Badung,SHM,6600,,2800000000,https://www.rumah.com/listing-properti/dijual-rumah-style-villa-super-buc-siapa-cepat-dia-dapat-di-jimbaran-badung-bali-oleh-agung-gandhy-19273904,"Lokasi strategis, halaman luas. Dijual Rumah Taman Griya."
06-12-2021,350,100,2,3,2,2,Denpasar,SHM,2200,,4500000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-oleh-kadeknick-19149386,Dijual Rumah Lantai 1 Style Bali area Buluh indah Denpasar Bali
06-12-2021,100,140,3,3,1,1,Denpasar,SHM,5500,Timur,1600000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-oleh-kadeknick-19232509,Dijual Rumah Style Minimalis di Komplek Perumahan. Lokasi di komplek perumahan pancoran residence. Lokasi mudah di jangkau karna bisa masuk dari jalan tukad batanghari.
06-12-2021,100,60,3,2,1,1,Badung,SHM,1300,,750000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-oleh-kadeknick-19395385,Dijual Rumah Baru Gress Lantai 1 Minimalis Area Abianbase Buduk. Bali
