created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga (Rp),URL,deskripsi 
28-08-2023,100,130,3,1,0,1,"Metro Pusat, Metro",SHM,900,,430000000,https://www.rumah123.com/properti/metro/hos14601282/,RUMAH MURAH STRATEGIS 1½ LANTAI SIAP HUNI PRASHANTI GARDEN METRO LAMPUNG
08-09-2023,265,225,2,2,0,2,"Metro Barat, Metro",SHM,Lainnya Watt,,1500000000,https://www.rumah123.com/properti/metro/hos14723010/#,Rumah di 22 Metro
15-08-2023,230,150,3,2,1,1,"Yosodadi, Metro",SHM,2200,,680000000,https://www.rumah123.com/properti/metro/hos13164294/,"Rumah ready Metro Lampung di Jl. AH Nasution, ful furnish perabot"
28-08-2023,1200,540,5,4,0,3,"Banjar Margo, Tulang Bawang",SHM,Lainnya Watt,,2300000000,https://www.rumah123.com/properti/tulang-bawang/hos14610973/,Rumah di Tulang Bawang
03-07-2023,90,60,2,1,0,1,"Metro Pusat, Metro",SHM,3500,,900000000,https://www.rumah123.com/properti/metro/hos10390496/,Rumah minimalis di pusat kota metro
06-08-2023,228,280,6,5,1,0,"Metro Pusat, Metro",SHM,4400,,2900000000,https://www.rumah123.com/properti/metro/hos14423429/,"Rumah 2 Lantai Bagus Semi Furnished SHM di Cut Nyak Dien, Metro"
07-09-2023,1140,1400,11,6,1,3,"Metro Barat, Metro","Lainnya (PPJB,Girik,Adat,dll)",Lainnya Watt,,11000000000,https://www.rumah123.com/properti/metro/hos14364993/,"Rumah 2 Lantai Jl. Veteran Hadimulyo, Metro Barat, Kota Metro"
18-09-2023,850,455,3,3,4,6,"Metro Barat, Metro",SHM,1300,,1700000000,https://www.rumah123.com/properti/metro/hos13895342/,Rumah Dgn Halaman Luas Asri Di Metro Barat Lampung
18-7-2023,225,345,2,1,0,1,"Gedong Tataan, Pesawaran",SHM,Lainnya Watt,,250000000,https://www.rumah123.com/properti/pesawaran/hos14255348/,"Depan pasar bernung
lokasi pingir jalan utama
depan jalan aspal
LOKASI BEBAS BANJIR
stok terbatas"
18-7-2023,72,30,2,1,0,1,"Gedong Tataan, Pesawaran",SHM,Lainnya Watt,,150000000,https://www.rumah123.com/properti/pesawaran/hos14255347/,"rumah murah bernung
skema KPR ; BOOKING SATU JUTA
angsuran subsidi 900 ribuan
depan pasar bernung
jalan utama protokol
LOKASI BEBAS BANJIR
stok terbatas"
21-6-2023,96,47,2,1,0,1,"Gedong Tataan, Pesawaran",SHM,1300,,430000000,https://www.rumah123.com/properti/pesawaran/hos14058702/,"Rumah Great Home Vilage Dijual Cepat
Rumah Dijual Cepat
Rumah Gedong Tataan Dijual Cepat
Rumah Pesawaran Dijual Cepat
Listrik 1300 VA
Bor"
19-9-2023,72,36,2,1,1,0,"Gedong Tataan, Pesawaran",SHM,900,,150000000,https://www.rumah123.com/properti/pesawaran/hos9786032/,Dijual Perumahan subsidi dp 0% tanda jadi 1 jutaan. Ready stok perumahan bersubsidi dengan lokasi sangat strategis lingkungan aman dan nyaman
8-7-2023,72,36,2,1,0,1,"Gedong Tataan, Pesawaran",SHM,1300,,165000000,https://www.rumah123.com/properti/pesawaran/hos9439904/,"Rumah Subsidi dekat dengan rumah sakit jiwa kemiling. Jual rumah subsidi lokasi dekat rsj kemiling , unit tidak banyak, dekat ke kota bndr lampung"
6-6-2023,525,300,1,1,0,1,"Gedong Tataan, Pesawaran",SHM,1300,,2000000000,https://www.rumah123.com/properti/pesawaran/hos7743776/,"rumah walet di pinggir jalan pesawaran. dijual cepat rumah walet di pinggir jalan pesawaran
luas tanah 525 m2
luas bangunan 300 m2
ada rumah jaga 100 m2
listrik 1300 W
tembok keliling
pinggir jalan raya
air sumur bor
sertipikat hak milik

Harga Rp. 2 M
nego

hub Rama
Global property Lampung
0721 788544
0812 72 888 157
0823 7960 7xxx"
6-6-2023,375,300,5,4,1,0,"Gunung Terang, Tulang Bawang Barat",SHM,1300,Utara,750000000,https://www.rumah123.com/properti/tulang-bawang-barat/hos11973564/,"Rumah Murah Banget Jl. Purnawirawan, Gunung Terang. House for Sale :
Jl. Purnawirawan, Gunung Terang, Langkapura, Lampung
Lokasi berada di depan kantor Lurah dan puskesmas gunung terang
Terdapat 2 bangunan rumah
Lt/Lb: 375M2/300M2
Legalitas : SHM
Kt : 5 / Km: 4
Rumah pertama dibangun pada tahun 2000
Rumah kedua dibangun pada tahun 2018
Masing- masing rumah memiliki listrik 1.300 watt
Kios / toko 1 unit ukuran 4m X 3m
Rumah hadap utara
Garasi 1 mobil
Lahan parkir di halaman muat 4 mobil
Harga Rp.750.000.xxx,- Net
/ch.julMM/ow.purwnt/21222"
24-8-2023,800,120,2,1,0,1,"Tulang Bawang Udik, Tulang Bawang Barat",SHM,Lainnya Watt,,350000000,https://www.rumah123.com/properti/tulang-bawang-barat/hos11642130/,Rumah Murah Tulang Bawang
05-07-2023,495,200,7,3,1,3,"Lawang Kidul, Muara Enim",SHM,33000,,1600000000,https://www.rumah123.com/properti/muara-enim/hos14151974/ ,"DIJUAL RUMAH MEWAH DAN LUAS, 5 MENIT KE PUSAT KOTA MUARA ENIM

SHM LT 495 / LB 200

Spesifikasi bangunan:
7 kamar tidur
2 kamar mandi luar
1 kamar mandi dalam
Ruang tamu
Ruang keluarga
Dapur
Garasi (Muat 2 mobil dan motor)
Air PDAM dan sumur
Halaman depan dan samping luas (Muat 3 mobil)

Fasilitas umum:
Dekat dengan SPBU, Rumah Sakit, Terminal Regional, Hotel, Tempat Ibadah, Minimarket, Sekolah, Klinik Kesehatan, Pasar."
01-08-2023,168,128,3,2,0,1,"Lawang Kidul, Muara Enim",SHM,1300,,550000000,https://www.rumah123.com/properti/muara-enim/hos14377690/,"DIJUAL RUMAH LUAS DI DARUSSALAM
Status: SHM
Luas bangunan: 128 m2
Luas tanah: 168 m2
Spesifikasi bangunan:
3 kamar tidur
1 kamar mandi dalam kamar
1 kamar mandi luar kamar
Ruang tamu
Ruang makan
Ruang laundry
Dapur
Carport
Air PDAM dan Sumur
FULL FURNISHED (3 AC, 3 lemari pakaian, 3 kasur, meja makan, tv, instalasi gas alam, sofa, dll)
Fasilitas umum:
Minimarket, Sekolah, Masjid, Rumah Sakit."
01-08-2023,500,270,3,2,0,0,"Lawang Kidul, Muara Enim",SHM,1300,,1500000000,https://www.rumah123.com/properti/muara-enim/hos14377289/,"Rumah dekat dengan fasilitas umum, Dekat dengan terimal kota, Stasiun KAI, Minimarket, Sekolah, Masjid, Klinik Kesehatan"
31-07-2023,90,45,2,1,0,1,"Lawang Kidul, Muara Enim",SHM,13200,,467000000,https://www.rumah123.com/properti/muara-enim/hos14361593/,"Perumahan Cluster Minimalis Lokasi Strategis Tengah Kota Muara Enim

Dijamin superstrategis hanya 3 menit ke stasiun KAI dan terminal bus. Angsuran Mulai dari 3 Jutaan saja."
15-09-2023,135,45,2,1,0,1,"Muara Belida, Muara Enim",SHM,1300,,250000000,https://www.rumah123.com/properti/muara-enim/hos13558180/,"Rumah Baru komersil
SIAP HUNI
Lokasi Sangat Strategis"
20-04-2023,104,36,2,1,0,1,"Belida Darat, Muara Enim",SHM,1300,,198000000,https://www.rumah123.com/properti/muara-enim/hos9902021/,"Rumah komersil
Desain modern
Lokasi Sangat Strategis Tengah Kota"
04-09-2023,300,285,4,3,0,1,"Lawang Kidul, Muara Enim",SHM,2200,,950000000,https://www.rumah123.com/properti/muara-enim/hos14680003/,"DIJUAL RUMAH DI PUSAT KOTA MUARA ENIM
SHM LT 300 / LB 285

Spesifikasi bangunan:
4 kamar tidur
1 kamar mandi luar
2 kamar mandi dalam
Ruang tamu
Ruang keluarga
Dapur
Carport (Muat 1 mobil dan beberapa motor)
Air PDAM dan sumur

Fasilitas umum:
1 menit ke RSUD
1 menit ke POLRES
1 menit ke MAN 1 Muara Enim
1 menit ke Minimarket
1 menit ke Pasar
1 menit ke Masjid"
04-07-2023,72,36,2,1,0,0,"Pringsewu, Pringsewu",SHM,1300,,30000000,https://www.rumah123.com/properti/pringsewu/hos14072515/,"Rumah Dijual Pringsewu Rumah di jual dengan take over dari bank mandiri.

- Rumah sudah di bangun dapur
- Dekat Pasar Pringsewu dan terminal
- Jalan Perumahan sudah di beton
- Keamanan 24 jam ."
08-09-2023,453,250,5,3,1,0,"Pringsewu, Pringsewu",SHM,Lainnya Watt,,2750000000,https://www.rumah123.com/properti/pringsewu/hos12022773/,Rumah di Pringsewu
07-09-2023,423,200,5,3,0,0,"Pringsewu, Pringsewu","Lainnya (PPJB,Girik,Adat,dll)",Lainnya Watt,,750000000,https://www.rumah123.com/properti/pringsewu/hos13715104/,"Dijual Tanah dan Bangunan di daerah Pringsewu
• LT : 423 m2
• LB : 200 m2
• Listrik 900VA
• Air Sumur & PAM

Jika berminat atau ingin bertanya seputar bangunan ini,
Silahkan hubungi :
Philipus (Property Consultant) di Whatsapp 0853-6828-6xxx"
