created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
5-12-2021,885,600,7,4,2,2,Cimanggis,SHM,6600,,6500,https://www.rumah123.com/properti/depok/hos9286163/,"Rumah luas tanah besar, kolam renang dan taman luas, 10 menit dari tol Cibubur"
5-12-2021,54,47,2,2,,,Tapos,SHM,,,498,https://www.rumah123.com/properti/depok/hos9286089/,Cluster Mewah Harga 1 Lantai Dapat 2 Lantai Harga Promo Dekat Tol Cimanggis dan Cijago
5-12-2021,50,36,2,1,,,Sawangan,SHM,,,260,https://www.rumah123.com/properti/depok/hos9286036/,Rumah Murah Dekat Stasiun dan Tol di Depok Sawangan.
5-12-2021,112,109,3,4,,,Sawangan,SHM,,,1700,https://www.rumah123.com/properti/depok/hos9286028/,Rumah 2 Lantai 2 Bangunan Gaya Art Deco di Kota Mandiri Baru
5-12-2021,60,80,2,1,,,Pancoran Mas,Lainnya,2200,,928,https://www.rumah123.com/properti/depok/hos9135196/,Rumah baru daerah depok jawa barat
5-12-2021,249,260,3,2,,,Bojong Sari,Lainnya,2200,,2500,https://www.rumah123.com/properti/depok/hos9249243/,Rumah bagus daerah reni jaya depok
5-12-2021,76,50,2,1,,1,Sawangan,SHM,1300,Timur,590,https://www.rumah123.com/properti/depok/hos9285519/,Cluster cantik cinangka pondok cabe harga all in biaya surat2
5-12-2021,66,45,2,1,1,1,Sawangan,SHM,1300,Timur,465,https://www.rumah123.com/properti/depok/hos9285440/,"Rumah dijual Murah Promo tanpa dp,Angsuran Ringan Dekat Gerbang Tol sawangan Depok"
5-12-2021,50,36,2,1,,,Sawangan,SHM,,,260,https://www.rumah123.com/properti/depok/hos9285434/,Rumah Murah Dekat Stasiun dan Tol di Depok Sawangan.
5-12-2021,112,105,3,2,,1,Sawangan,SHM,2200,Timur,1650,https://www.rumah123.com/properti/depok/hos9285351/,Rumah Baru 2 Lantai Siap Huni di Sawangan Depok
5-12-2021,100,160,3,3,,1,Pancoran Mas,SHM,2200,Selatan,1190,https://www.rumah123.com/properti/depok/hos9285162/,Rumah Tanah Luas Strategis Cluster Dekat DTC Mall Dan Tol Desari Depok
5-12-2021,70,70,3,2,,2,Tapos,SHM,2200,,966,https://www.rumah123.com/properti/depok/hos9285123/,Rumah 2 Lantai Alexandria Premiere Pinggir Jalan Di Cimanggis Tapos Depok
5-12-2021,79,68,3,2,2,2,Bojong Sari,SHM,2200,,548,https://www.rumah123.com/properti/depok/hos9284984/,RUMAH 2 LANTAI HARGA 500 JUTAAN DEKET JALAN RAYA BOJONGSARI
